Location,Year,Month,Season,River_Inflow_MCM,Reservoir_Storage_MCM,Reservoir_Capacity_MCM,Storage_Percent,Groundwater_Level_mbgl,Groundwater_Status,Canal_Release_MCM,Irrigation_Water_MCM,Drinking_Water_MCM,Industrial_Water_MCM,Total_Demand_MCM,Deficit_Surplus_MCM,Primary_Source,data_source
Coimbatore,2021,July,Southwest Monsoon,42.6,272.3,320.4,85.0,16.5,Above Normal,20.4,14.8,3.8,1.8,20.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,August,Southwest Monsoon,38.4,272.3,320.4,85.0,16.5,Very High,24.2,18.0,4.4,1.8,24.2,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,September,Southwest Monsoon,72.4,272.3,320.4,85.0,16.5,Very High,38.4,28.8,7.2,2.4,38.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,October,Northeast Monsoon,112.8,230.7,320.4,72.0,15.0,Very High,52.4,39.6,9.8,3.0,52.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,November,Northeast Monsoon,94.6,230.7,320.4,72.0,15.0,Very High,44.8,34.2,8.2,2.4,44.8,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,December,Northeast Monsoon,32.4,230.7,320.4,72.0,15.0,High,22.4,16.8,4.2,1.4,22.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,January,Winter,11.8,230.7,320.4,72.0,15.0,High,9.6,7.0,1.8,0.8,9.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,February,Winter,7.4,230.7,320.4,72.0,15.0,Above Normal,7.8,5.6,1.4,0.8,7.8,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,March,Summer,5.6,185.8,320.4,58.0,21.0,Normal,6.8,4.8,1.4,0.6,6.8,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,April,Summer,4.2,185.8,320.4,58.0,21.0,Normal,5.8,4.2,1.0,0.6,5.8,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,May,Summer,7.2,185.8,320.4,58.0,21.0,Normal,5.6,4.0,1.0,0.6,5.6,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,June,Southwest Monsoon,32.4,272.3,320.4,85.0,16.5,Normal,16.2,11.6,3.0,1.6,16.2,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,July,Southwest Monsoon,44.2,272.3,320.4,85.0,16.5,Very High,22.4,16.2,4.2,2.0,22.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,August,Southwest Monsoon,46.8,272.3,320.4,85.0,16.5,Very High,26.2,19.6,4.8,1.8,26.2,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,September,Southwest Monsoon,62.4,272.3,320.4,85.0,16.5,Very High,34.6,26.0,6.6,2.0,34.6,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,October,Northeast Monsoon,138.4,230.7,320.4,72.0,15.0,Very High,56.4,42.6,10.6,3.2,56.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,November,Northeast Monsoon,82.4,230.7,320.4,72.0,15.0,Very High,40.2,30.4,7.6,2.2,40.2,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,December,Northeast Monsoon,40.6,230.7,320.4,72.0,15.0,High,26.4,19.8,4.8,1.8,26.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,January,Winter,10.2,230.7,320.4,72.0,15.0,High,8.8,6.4,1.6,0.8,8.8,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,February,Winter,8.8,230.7,320.4,72.0,15.0,Above Normal,7.6,5.4,1.4,0.8,7.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,March,Summer,6.4,185.8,320.4,58.0,21.0,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,April,Summer,4.6,185.8,320.4,58.0,21.0,Normal,5.6,4.0,1.0,0.6,5.6,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,May,Summer,7.8,185.8,320.4,58.0,21.0,Normal,5.8,4.2,1.0,0.6,5.8,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,June,Southwest Monsoon,30.2,272.3,320.4,85.0,16.5,Normal,15.4,11.0,2.8,1.6,15.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,July,Southwest Monsoon,46.4,272.3,320.4,85.0,16.5,Very High,21.8,15.8,4.0,2.0,21.8,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,August,Southwest Monsoon,40.2,272.3,320.4,85.0,16.5,Very High,24.6,18.4,4.4,1.8,24.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,September,Southwest Monsoon,74.2,272.3,320.4,85.0,16.5,Very High,36.4,27.4,6.8,2.2,36.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,October,Northeast Monsoon,118.4,230.7,320.4,72.0,15.0,Very High,50.2,38.0,9.4,2.8,50.2,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,November,Northeast Monsoon,96.4,230.7,320.4,72.0,15.0,Very High,43.6,33.0,8.0,2.6,43.6,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,December,Northeast Monsoon,34.6,230.7,320.4,72.0,15.0,High,24.2,18.2,4.4,1.6,24.2,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2024,January,Winter,10.2,230.7,320.4,72.0,15.0,High,8.8,6.4,1.6,0.8,8.8,0.0,Bhavani River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,February,Winter,8.8,230.7,320.4,72.0,15.0,Above Normal,7.6,5.4,1.4,0.8,7.6,0.0,Bhavani River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,March,Summer,6.4,185.8,320.4,58.0,21.0,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Pillur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,April,Summer,4.6,185.8,320.4,58.0,21.0,Normal,5.6,4.0,1.0,0.6,5.6,0.0,Pillur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,May,Summer,7.8,185.8,320.4,58.0,21.0,Normal,5.8,4.2,1.0,0.6,5.8,0.0,Pillur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,June,Southwest Monsoon,30.2,272.3,320.4,85.0,16.5,Normal,15.4,11.0,2.8,1.6,15.4,0.0,Bhavani River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,July,Southwest Monsoon,46.4,272.3,320.4,85.0,16.5,Very High,21.8,15.8,4.0,2.0,21.8,0.0,Bhavani River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,August,Southwest Monsoon,40.2,272.3,320.4,85.0,16.5,Very High,24.6,18.4,4.4,1.8,24.6,0.0,Bhavani River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,September,Southwest Monsoon,74.2,272.3,320.4,85.0,16.5,Very High,36.4,27.4,6.8,2.2,36.4,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,October,Northeast Monsoon,118.4,230.7,320.4,72.0,15.0,Very High,50.2,38.0,9.4,2.8,50.2,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,November,Northeast Monsoon,96.4,230.7,320.4,72.0,15.0,Very High,43.6,33.0,8.0,2.6,43.6,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Coimbatore,2024,December,Northeast Monsoon,34.6,230.7,320.4,72.0,15.0,High,24.2,18.2,4.4,1.6,24.2,0.0,Bhavani River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
