Location,Year,Month,Season,Monthly_Rainfall_mm,Rainy_Days,Max_Daily_Rainfall_mm,Min_Temp_C,Max_Temp_C,Humidity_Percent,Rainfall_Type,Normal_Rainfall_mm,Deviation_from_Normal_mm,Deviation_Percent,data_source,Annual_Normal_mm
Erode,2020,December,Northeast Monsoon,28.6,5,14.8,20.2,30.8,66,Light,53.7,-25.1,-46.7,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,January,Winter,5.2,1,5.2,18.6,32.6,57,Light,34.5,-29.3,-84.9,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,February,Winter,6.8,2,4.8,20.0,34.4,56,Light,34.5,-27.7,-80.3,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,March,Summer,22.4,5,12.6,22.6,37.0,53,Pre-monsoon,26.7,-4.3,-16.1,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,April,Summer,38.4,5,17.4,24.8,38.6,59,Pre-monsoon,26.7,11.7,43.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,May,Summer,66.8,9,30.4,26.4,39.8,63,Pre-monsoon,26.7,40.1,150.2,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,June,Southwest Monsoon,30.4,6,13.8,25.2,36.0,67,Monsoon,85.0,-54.6,-64.2,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,July,Southwest Monsoon,52.4,10,22.8,24.2,34.6,73,Monsoon,85.0,-32.6,-38.4,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,August,Southwest Monsoon,36.8,7,15.4,24.0,34.2,75,Monsoon,85.0,-48.2,-56.7,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,September,Southwest Monsoon,86.4,13,38.6,23.6,33.6,77,Monsoon,85.0,1.4,1.6,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,October,Northeast Monsoon,104.2,13,44.6,22.6,32.4,81,Monsoon,53.7,50.5,94.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,November,Northeast Monsoon,96.8,13,42.4,21.4,31.2,78,Monsoon,53.7,43.1,80.3,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2021,December,Northeast Monsoon,24.2,4,12.6,20.0,30.6,65,Light,53.7,-29.5,-54.9,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,January,Winter,8.4,2,6.4,19.2,32.8,59,Light,34.5,-26.1,-75.7,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,February,Winter,2.8,1,2.8,19.6,34.0,53,Light,34.5,-31.7,-91.9,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,March,Summer,14.8,3,8.4,22.4,36.6,51,Pre-monsoon,26.7,-11.9,-44.6,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,April,Summer,48.2,7,22.4,24.4,38.2,60,Pre-monsoon,26.7,21.5,80.5,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,May,Summer,54.6,7,25.6,26.0,39.4,61,Pre-monsoon,26.7,27.9,104.5,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,June,Southwest Monsoon,40.6,8,18.4,25.3,36.1,69,Monsoon,85.0,-44.4,-52.2,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,July,Southwest Monsoon,44.2,8,19.4,24.3,34.7,71,Monsoon,85.0,-40.8,-48.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,August,Southwest Monsoon,46.4,9,20.2,24.1,34.3,73,Monsoon,85.0,-38.6,-45.4,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,September,Southwest Monsoon,72.4,11,32.4,23.7,33.7,75,Monsoon,85.0,-12.6,-14.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,October,Northeast Monsoon,124.6,16,52.4,22.7,32.5,82,Monsoon,53.7,70.9,132.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,November,Northeast Monsoon,78.4,11,33.8,21.5,31.3,76,Monsoon,53.7,24.7,46.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2022,December,Northeast Monsoon,32.4,6,16.6,20.1,30.7,67,Light,53.7,-21.3,-39.7,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,January,Winter,4.8,1,4.8,18.4,32.2,57,Light,34.5,-29.7,-86.1,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,February,Winter,7.6,2,5.6,19.9,34.1,55,Light,34.5,-26.9,-78.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,March,Summer,16.4,4,9.2,22.5,36.9,52,Pre-monsoon,26.7,-10.3,-38.6,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,April,Summer,43.8,6,19.6,24.5,38.3,59,Pre-monsoon,26.7,17.1,64.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,May,Summer,60.4,8,27.8,26.1,39.5,62,Pre-monsoon,26.7,33.7,126.2,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,June,Southwest Monsoon,34.2,7,15.4,25.3,36.1,68,Monsoon,85.0,-50.8,-59.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,July,Southwest Monsoon,48.6,9,21.4,24.3,34.7,72,Monsoon,85.0,-36.4,-42.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,August,Southwest Monsoon,40.8,8,17.2,24.1,34.3,74,Monsoon,85.0,-44.2,-52.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,September,Southwest Monsoon,80.2,12,35.6,23.7,33.7,76,Monsoon,85.0,-4.8,-5.6,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,October,Northeast Monsoon,114.6,15,50.2,22.7,32.5,80,Monsoon,53.7,60.9,113.4,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,November,Northeast Monsoon,86.8,12,38.0,21.5,31.3,77,Monsoon,53.7,33.1,61.6,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2023,December,Northeast Monsoon,27.4,5,13.8,20.0,30.6,66,Light,53.7,-26.3,-49.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2024,January,Winter,4.8,1,4.8,18.4,32.2,57,Light,34.5,-29.7,-86.1,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,February,Winter,7.6,2,5.6,19.9,34.1,55,Light,34.5,-26.9,-78.0,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,March,Summer,16.4,4,9.2,22.5,36.9,52,Pre-monsoon,26.7,-10.3,-38.6,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,April,Summer,43.8,6,19.6,24.5,38.3,59,Pre-monsoon,26.7,17.1,64.0,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,May,Summer,60.4,8,27.8,26.1,39.5,62,Pre-monsoon,26.7,33.7,126.2,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,June,Southwest Monsoon,34.2,7,15.4,25.3,36.1,68,Monsoon,85.0,-50.8,-59.8,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,July,Southwest Monsoon,48.6,9,21.4,24.3,34.7,72,Monsoon,85.0,-36.4,-42.8,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,August,Southwest Monsoon,40.8,8,17.2,24.1,34.3,74,Monsoon,85.0,-44.2,-52.0,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,September,Southwest Monsoon,80.2,12,35.6,23.7,33.7,76,Monsoon,85.0,-4.8,-5.6,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,October,Northeast Monsoon,114.6,15,50.2,22.7,32.5,80,Monsoon,53.7,60.9,113.4,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,November,Northeast Monsoon,86.8,12,38.0,21.5,31.3,77,Monsoon,53.7,33.1,61.6,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
Erode,2024,December,Northeast Monsoon,27.4,5,13.8,20.0,30.6,66,Light,53.7,-26.3,-49.0,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",650
