Location,Year,Month,Season,River_Inflow_MCM,Reservoir_Storage_MCM,Reservoir_Capacity_MCM,Storage_Percent,Groundwater_Level_mbgl,Groundwater_Status,Canal_Release_MCM,Irrigation_Water_MCM,Drinking_Water_MCM,Industrial_Water_MCM,Total_Demand_MCM,Deficit_Surplus_MCM,Primary_Source,data_source
Salem,2023,February,Winter,11.2,150.1,312.8,48.0,28.0,Above Normal,9.0,6.6,1.8,0.6,9.0,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,March,Summer,8.2,109.5,312.8,35.0,34.0,Normal,7.6,5.6,1.4,0.6,7.6,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,April,Summer,6.2,109.5,312.8,35.0,34.0,Normal,6.6,4.8,1.2,0.6,6.6,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,May,Summer,8.8,109.5,312.8,35.0,34.0,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,June,Southwest Monsoon,34.4,193.9,312.8,62.0,29.5,Normal,16.4,12.0,3.2,1.2,16.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,July,Southwest Monsoon,52.4,193.9,312.8,62.0,29.5,Very High,25.4,18.6,5.0,1.8,25.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,August,Southwest Monsoon,50.4,193.9,312.8,62.0,29.5,Very High,29.4,21.8,5.8,1.8,29.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,September,Southwest Monsoon,86.4,193.9,312.8,62.0,29.5,Very High,39.4,29.4,7.8,2.2,39.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,October,Northeast Monsoon,132.4,150.1,312.8,48.0,28.0,Very High,62.4,47.0,11.8,3.6,62.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,November,Northeast Monsoon,102.4,150.1,312.8,48.0,28.0,Very High,48.4,36.4,9.4,2.6,48.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,December,Northeast Monsoon,40.4,150.1,312.8,48.0,28.0,High,27.4,20.4,5.4,1.6,27.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2024,January,Winter,13.4,150.1,312.8,48.0,28.0,High,10.0,7.2,2.0,0.8,10.0,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,February,Winter,11.2,150.1,312.8,48.0,28.0,Above Normal,9.0,6.6,1.8,0.6,9.0,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,March,Summer,8.2,109.5,312.8,35.0,34.0,Normal,7.6,5.6,1.4,0.6,7.6,0.0,Thirumanimuttar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,April,Summer,6.2,109.5,312.8,35.0,34.0,Normal,6.6,4.8,1.2,0.6,6.6,0.0,Thirumanimuttar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,May,Summer,8.8,109.5,312.8,35.0,34.0,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Thirumanimuttar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,June,Southwest Monsoon,34.4,193.9,312.8,62.0,29.5,Normal,16.4,12.0,3.2,1.2,16.4,0.0,Cauvery River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,July,Southwest Monsoon,52.4,193.9,312.8,62.0,29.5,Very High,25.4,18.6,5.0,1.8,25.4,0.0,Cauvery River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,August,Southwest Monsoon,50.4,193.9,312.8,62.0,29.5,Very High,29.4,21.8,5.8,1.8,29.4,0.0,Cauvery River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,September,Southwest Monsoon,86.4,193.9,312.8,62.0,29.5,Very High,39.4,29.4,7.8,2.2,39.4,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,October,Northeast Monsoon,132.4,150.1,312.8,48.0,28.0,Very High,62.4,47.0,11.8,3.6,62.4,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,November,Northeast Monsoon,102.4,150.1,312.8,48.0,28.0,Very High,48.4,36.4,9.4,2.6,48.4,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Salem,2024,December,Northeast Monsoon,40.4,150.1,312.8,48.0,28.0,High,27.4,20.4,5.4,1.6,27.4,0.0,Mettur Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
