Location,Year,Month,Season,Monthly_Rainfall_mm,Rainy_Days,Max_Daily_Rainfall_mm,Min_Temp_C,Max_Temp_C,Humidity_Percent,Rainfall_Type,Normal_Rainfall_mm,Deviation_from_Normal_mm,Deviation_Percent,data_source,Annual_Normal_mm
Pollachi,2021,September,Southwest Monsoon,118.4,16,52.4,22.2,32.8,85,Monsoon,105.0,13.4,12.8,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,October,Northeast Monsoon,132.4,16,56.4,21.6,31.6,83,Monsoon,60.7,71.7,118.1,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,November,Northeast Monsoon,126.4,16,54.4,20.4,30.2,81,Monsoon,60.7,65.7,108.2,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,December,Northeast Monsoon,40.4,7,20.4,19.0,29.6,73,Light,60.7,-20.3,-33.4,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,January,Winter,14.4,4,9.6,18.2,31.2,69,Light,39.0,-24.6,-63.1,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,February,Winter,6.8,2,5.4,19.0,32.2,63,Light,39.0,-32.2,-82.6,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,March,Summer,26.4,5,13.8,21.2,34.6,59,Pre-monsoon,23.3,3.1,13.3,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,April,Summer,76.4,10,34.8,23.0,36.2,67,Pre-monsoon,23.3,53.1,227.9,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,May,Summer,84.4,11,38.4,24.2,37.4,71,Pre-monsoon,23.3,61.1,262.2,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,June,Southwest Monsoon,130.4,17,56.8,23.9,34.7,81,Monsoon,105.0,25.4,24.2,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,July,Southwest Monsoon,140.4,18,62.4,23.1,33.5,83,Monsoon,105.0,35.4,33.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,August,Southwest Monsoon,142.4,18,62.4,22.7,33.1,85,Monsoon,105.0,37.4,35.6,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,September,Southwest Monsoon,98.4,14,42.6,22.3,32.9,83,Monsoon,105.0,-6.6,-6.3,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,October,Northeast Monsoon,158.4,19,68.4,21.7,31.7,84,Monsoon,60.7,97.7,161.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,November,Northeast Monsoon,104.4,14,44.6,20.5,30.3,79,Monsoon,60.7,43.7,72.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2022,December,Northeast Monsoon,52.4,9,26.4,19.1,29.7,75,Light,60.7,-8.3,-13.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,January,Winter,11.8,3,8.0,17.9,30.9,68,Light,39.0,-27.2,-69.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,February,Winter,7.8,2,5.8,19.1,32.3,64,Light,39.0,-31.2,-80.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,March,Summer,25.8,5,13.4,21.3,34.7,60,Pre-monsoon,23.3,2.5,10.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,April,Summer,70.4,9,31.8,23.1,36.3,66,Pre-monsoon,23.3,47.1,202.1,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,May,Summer,90.4,12,42.4,24.3,37.5,72,Pre-monsoon,23.3,67.1,288.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,June,Southwest Monsoon,120.4,16,52.4,23.9,34.7,80,Monsoon,105.0,15.4,14.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,July,Southwest Monsoon,144.4,19,62.8,23.1,33.5,84,Monsoon,105.0,39.4,37.5,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,August,Southwest Monsoon,132.4,18,56.8,22.7,33.1,86,Monsoon,105.0,27.4,26.1,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,September,Southwest Monsoon,108.4,15,46.8,22.3,32.9,84,Monsoon,105.0,3.4,3.2,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,October,Northeast Monsoon,144.4,18,62.8,21.7,31.7,82,Monsoon,60.7,83.7,137.9,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,November,Northeast Monsoon,114.4,15,48.8,20.5,30.3,80,Monsoon,60.7,53.7,88.5,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2023,December,Northeast Monsoon,45.4,8,23.0,19.1,29.7,74,Light,60.7,-15.3,-25.2,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2024,January,Winter,11.8,3,8.0,17.9,30.9,68,Light,39.0,-27.2,-69.7,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,February,Winter,7.8,2,5.8,19.1,32.3,64,Light,39.0,-31.2,-80.0,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,March,Summer,25.8,5,13.4,21.3,34.7,60,Pre-monsoon,23.3,2.5,10.7,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,April,Summer,70.4,9,31.8,23.1,36.3,66,Pre-monsoon,23.3,47.1,202.1,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,May,Summer,90.4,12,42.4,24.3,37.5,72,Pre-monsoon,23.3,67.1,288.0,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,June,Southwest Monsoon,120.4,16,52.4,23.9,34.7,80,Monsoon,105.0,15.4,14.7,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,July,Southwest Monsoon,144.4,19,62.8,23.1,33.5,84,Monsoon,105.0,39.4,37.5,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,August,Southwest Monsoon,132.4,18,56.8,22.7,33.1,86,Monsoon,105.0,27.4,26.1,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,September,Southwest Monsoon,108.4,15,46.8,22.3,32.9,84,Monsoon,105.0,3.4,3.2,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,October,Northeast Monsoon,144.4,18,62.8,21.7,31.7,82,Monsoon,60.7,83.7,137.9,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,November,Northeast Monsoon,114.4,15,48.8,20.5,30.3,80,Monsoon,60.7,53.7,88.5,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
Pollachi,2024,December,Northeast Monsoon,45.4,8,23.0,19.1,29.7,74,Light,60.7,-15.3,-25.2,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly rainfall/weather repeated verbatim (no independent 2024 observation; set in a prior session).",750
